Utilization Summary
-------------------------------------------------
Acceptable utilization level -> 75% <= Utilization <= 110%

----------------------------------------
Day | Hour | Utilization per Hour (in %)
Friday | 19.00 - 20.00 | 87.67
Friday | 20.00 - 21.00 | 92.33
Friday | 21.00 - 22.00 | 98.57
Friday | 22.00 - 23.00 | 83.75
Friday | 23.00 - 0.00 | 80.67
----------------------------------------
Saturday | 0.00 - 1.00 | 38.57
Saturday | 1.00 - 2.00 | 19.44
Saturday | 2.00 - 3.00 | 28.0
Saturday | 3.00 - 4.00 | 14.0
Saturday | 4.00 - 5.00 | 20.0
Saturday | 5.00 - 6.00 | 10.0
Saturday | 6.00 - 7.00 | 31.0
Saturday | 7.00 - 8.00 | 51.0
Saturday | 8.00 - 9.00 | 53.0
Saturday | 9.00 - 10.00 | 52.0
Saturday | 10.00 - 11.00 | 68.0
Saturday | 11.00 - 12.00 | 78.0
Saturday | 12.00 - 13.00 | 58.0
Saturday | 13.00 - 14.00 | 62.0
Saturday | 14.00 - 15.00 | 42.5
Saturday | 15.00 - 16.00 | 77.0
Saturday | 16.00 - 17.00 | 65.0
Saturday | 17.00 - 18.00 | 59.0
Saturday | 18.00 - 19.00 | 61.0
Saturday | 19.00 - 20.00 | 53.0
Saturday | 20.00 - 21.00 | 56.0
Saturday | 21.00 - 22.00 | 70.0
Saturday | 22.00 - 23.00 | 45.83
Saturday | 23.00 - 0.00 | 62.5
